timestamp_ms,cpu_usage,available_workers,io_queue,cpu_queue
4670,0.9500,1,2,61
4680,0.9500,1,2,61
4690,0.9500,1,1,62
4700,0.9500,1,1,62
4710,0.9500,1,1,62
4720,0.9500,1,1,62
4730,0.9500,1,1,62
4740,0.9500,1,1,62
4750,0.9500,1,1,62
4761,0.9500,1,1,62
4771,0.9500,1,0,63
4781,0.9500,1,0,63
4791,0.7000,1,1,63
4801,0.7000,1,1,63
4811,0.7000,1,0,64
4821,0.7000,1,0,64
4831,0.9500,1,0,65
4841,0.9500,1,0,65
4851,0.9500,1,1,64
4861,0.9500,1,1,64
4871,0.9500,1,2,64
4881,0.9500,1,2,64
4891,0.9500,1,2,64
4901,0.9500,1,2,64
4912,0.9500,1,2,64
4922,0.9500,1,2,64
4932,0.9500,1,1,65
4942,0.9500,1,1,65
4952,0.9500,1,1,65
4962,0.9500,1,1,65
4972,0.9500,1,1,65
4982,0.9500,1,1,65
4992,0.9500,1,2,65
5002,0.9500,1,2,65
5012,0.9500,1,2,65
5022,0.9500,1,2,65
5032,0.9000,0,3,65
5042,0.9000,0,3,65
5052,0.9000,0,0,66
5063,0.9000,0,0,66
5073,0.8000,0,0,67
5083,0.8000,0,0,67
5093,0.8000,0,1,67
5103,0.8000,0,1,67
5113,0.7000,1,0,68
5123,0.7000,1,0,68
5133,0.9500,1,0,69
5143,0.9500,1,0,69
5153,0.9500,1,1,68
5163,0.9500,1,1,68
5173,0.9500,1,1,68
5183,0.9500,1,1,68
5193,0.9500,1,1,69
5203,0.9500,1,1,69
5214,0.9500,1,0,70
5224,0.9500,1,0,70
5234,0.8500,2,1,70
5244,0.8500,2,1,70
5254,0.9500,1,1,70
5264,0.9500,1,1,70
5274,0.9500,1,1,70
5284,0.9500,1,1,70
5294,0.8500,2,0,71
5304,0.8500,2,0,71
5314,0.8500,2,0,72
5325,0.5000,3,0,72
5335,0.9500,1,1,72
5345,0.8500,2,1,72
5355,0.9500,1,1,71
